index,name,value,std,LCI,UCI,,,,,,
1984,Western GOA,131830.00,3.71E+04,57604.00,206056.00,,,,,,
1985,Western GOA,109640.00,3.19E+04,45902.00,173378.00,,,,,,
1986,Western GOA,91177.00,2.26E+04,46045.00,136309.00,,,,,,
1987,Western GOA,75826.00,7.41E+03,61009.80,90642.20,,,,,,
1988,Western GOA,88561.00,2.06E+04,47369.00,129753.00,,,,,,
1989,Western GOA,103430.00,2.48E+04,53860.00,153000.00,,,,,,
1990,Western GOA,120810.00,1.69E+04,87046.00,154574.00,,,,,,
1991,Western GOA,119620.00,2.86E+04,62386.00,176854.00,,,,,,
1992,Western GOA,118440.00,2.73E+04,63806.00,173074.00,,,,,,
1993,Western GOA,117280.00,1.01E+04,97086.00,137474.00,,,,,,
1994,Western GOA,127680.00,3.06E+04,66508.00,188852.00,,,,,,
1995,Western GOA,139000.00,3.75E+04,64042.00,213958.00,,,,,,
1996,Western GOA,151320.00,3.50E+04,81416.00,221224.00,,,,,,
1997,Western GOA,138440.00,3.82E+04,62054.00,214826.00,,,,,,
1998,Western GOA,126660.00,3.26E+04,61474.00,191846.00,,,,,,
1999,Western GOA,115870.00,1.78E+04,80204.00,151536.00,,,,,,
2000,Western GOA,114890.00,2.76E+04,59780.00,170000.00,,,,,,
2001,Western GOA,113910.00,2.52E+04,63562.00,164258.00,,,,,,
2002,Western GOA,101730.00,2.57E+04,50424.00,153036.00,,,,,,
2003,Western GOA,90851.00,1.83E+04,54309.00,127393.00,,,,,,
2004,Western GOA,101460.00,2.68E+04,47886.00,155034.00,,,,,,
2005,Western GOA,113300.00,2.88E+04,55772.00,170828.00,,,,,,
2006,Western GOA,119440.00,3.13E+04,56854.00,182026.00,,,,,,
2007,Western GOA,125910.00,2.43E+04,77236.00,174584.00,,,,,,
2008,Western GOA,149520.00,3.52E+04,79186.00,219854.00,,,,,,
2009,Western GOA,177570.00,3.03E+04,117060.00,238080.00,,,,,,
2010,Western GOA,172140.00,3.99E+04,92396.00,251884.00,,,,,,
2011,Western GOA,166870.00,2.93E+04,108268.00,225472.00,,,,,,
2012,Western GOA,166750.00,3.95E+04,87842.00,245658.00,,,,,,
2013,Western GOA,166640.00,3.16E+04,103494.00,229786.00,,,,,,
2014,Western GOA,128740.00,3.03E+04,68112.00,189368.00,,,,,,
2015,Western GOA,99458.00,1.69E+04,65582.00,133334.00,,,,,,
2016,Western GOA,72232.00,1.65E+04,39284.00,105180.00,,,,,,
2017,Western GOA,52459.00,8.67E+03,35119.60,69798.40,,,,,,
2018,Western GOA,44248.00,9.65E+03,24938.60,63557.40,,,,,,
2019,Western GOA,37322.00,4.45E+03,28415.40,46228.60,,,,,,
2020,Western GOA,43143.00,9.06E+03,25032.00,61254.00,,,,,,
2021,Western GOA,49871.00,6.55E+03,36779.00,62963.00,,,,,,
1984, Eastern GOA ,31343.00,8.31E+03,14716.60,47969.40,,,,,,
1985, Eastern GOA ,30546.00,7.80E+03,0.00,46141.40,,,,,,
1986, Eastern GOA ,29769.00,7.07E+03,0.00,43912.60,,,,,,
1987, Eastern GOA ,29012.00,6.10E+03,16820.40,41203.60,,,,,,
1988, Eastern GOA ,27663.00,5.52E+03,16625.40,38700.60,,,,,,
1989, Eastern GOA ,26378.00,4.58E+03,17215.80,35540.20,,,,,,
1990, Eastern GOA ,25152.00,3.10E+03,18942.40,31361.60,,,,,,
1991, Eastern GOA ,23412.00,3.72E+03,15981.00,30843.00,,,,,,
1992, Eastern GOA ,21793.00,3.60E+03,14602.40,28983.60,,,,,,
1993, Eastern GOA ,20285.00,2.96E+03,14359.20,26210.80,,,,,,
1994, Eastern GOA ,18794.00,3.29E+03,12221.20,25366.80,,,,,,
1995, Eastern GOA ,17413.00,3.19E+03,11035.80,23790.20,,,,,,
1996, Eastern GOA ,16133.00,2.80E+03,10525.80,21740.20,,,,,,
1997, Eastern GOA ,16670.00,3.01E+03,10647.60,22692.40,,,,,,
1998, Eastern GOA ,17226.00,3.08E+03,11067.80,23384.20,,,,,,
1999, Eastern GOA ,17799.00,2.99E+03,11824.00,23774.00,,,,,,
2000, Eastern GOA ,16964.00,3.17E+03,10626.20,23301.80,,,,,,
2001, Eastern GOA ,16168.00,3.04E+03,10081.40,22254.60,,,,,,
2002, Eastern GOA ,15409.00,2.66E+03,10090.20,20727.80,,,,,,
2003, Eastern GOA ,14686.00,1.97E+03,10750.20,18621.80,,,,,,
2004, Eastern GOA ,13994.00,2.11E+03,9776.80,18211.20,,,,,,
2005, Eastern GOA ,13335.00,1.77E+03,9790.60,16879.40,,,,,,
2006, Eastern GOA ,12335.00,1.97E+03,8390.60,16279.40,,,,,,
2007, Eastern GOA ,11410.00,1.88E+03,7645.00,15175.00,,,,,,
2008, Eastern GOA ,12421.00,1.97E+03,8481.60,16360.40,,,,,,
2009, Eastern GOA ,13522.00,1.81E+03,9899.40,17144.60,,,,,,
2010, Eastern GOA ,14370.00,2.12E+03,10133.80,18606.20,,,,,,
2011, Eastern GOA ,15272.00,1.95E+03,11374.60,19169.40,,,,,,
2012, Eastern GOA ,14555.00,2.12E+03,10312.80,18797.20,,,,,,
2013, Eastern GOA ,13872.00,1.82E+03,10223.60,17520.40,,,,,,
2014, Eastern GOA ,14189.00,2.31E+03,9560.60,18817.40,,,,,,
2015, Eastern GOA ,14513.00,2.49E+03,9527.00,19499.00,,,,,,
2016, Eastern GOA ,13378.00,2.39E+03,8601.20,18154.80,,,,,,
2017, Eastern GOA ,12332.00,2.28E+03,7782.00,16882.00,,,,,,
2018, Eastern GOA ,12289.00,2.26E+03,7776.40,16801.60,,,,,,
2019, Eastern GOA ,12247.00,1.97E+03,8302.40,16191.60,,,,,,
2020, Eastern GOA ,13826.00,2.50E+03,8823.60,18828.40,,,,,,
2021, Eastern GOA ,15608.00,3.41E+03,8789.40,22426.60,,,,,,
1984, Central GOA ,336670.00,5.09E+04,234870.00,438470.00,,,,,,
1985, Central GOA ,320830.00,9.41E+04,132534.00,509126.00,,,,,,
1986, Central GOA ,305730.00,9.01E+04,125630.00,485830.00,,,,,,
1987, Central GOA ,291340.00,4.59E+04,199622.00,383058.00,,,,,,
1988, Central GOA ,283310.00,8.46E+04,114014.00,452606.00,,,,,,
1989, Central GOA ,275490.00,8.47E+04,106184.00,444796.00,,,,,,
1990, Central GOA ,267900.00,5.37E+04,160448.00,375352.00,,,,,,
1991, Central GOA ,269570.00,8.47E+04,100166.00,438974.00,,,,,,
1992, Central GOA ,271250.00,8.68E+04,97700.00,444800.00,,,,,,
1993, Central GOA ,272940.00,6.17E+04,149598.00,396282.00,,,,,,
1994, Central GOA ,280500.00,9.07E+04,99150.00,461850.00,,,,,,
1995, Central GOA ,288260.00,9.35E+04,101326.00,475194.00,,,,,,
1996, Central GOA ,296250.00,6.82E+04,159916.00,432584.00,,,,,,
1997, Central GOA ,249050.00,7.92E+04,90694.00,407406.00,,,,,,
1998, Central GOA ,209370.00,6.39E+04,81528.00,337212.00,,,,,,
1999, Central GOA ,176020.00,3.02E+04,115712.00,236328.00,,,,,,
2000, Central GOA ,156920.00,4.24E+04,72076.00,241764.00,,,,,,
2001, Central GOA ,139890.00,2.65E+04,86870.00,192910.00,,,,,,
2002, Central GOA ,163040.00,4.39E+04,75198.00,250882.00,,,,,,
2003, Central GOA ,190020.00,3.29E+04,124176.00,255864.00,,,,,,
2004, Central GOA ,172480.00,4.82E+04,76052.00,268908.00,,,,,,
2005, Central GOA ,156560.00,3.55E+04,85478.00,227642.00,,,,,,
2006, Central GOA ,138280.00,3.77E+04,62840.00,213720.00,,,,,,
2007, Central GOA ,122140.00,1.74E+04,87366.00,156914.00,,,,,,
2008, Central GOA ,189540.00,5.39E+04,81682.00,297398.00,,,,,,
2009, Central GOA ,294150.00,8.49E+04,124378.00,463922.00,,,,,,
2010, Central GOA ,302070.00,8.95E+04,123084.00,481056.00,,,,,,
2011, Central GOA ,310200.00,5.11E+04,208050.00,412350.00,,,,,,
2012, Central GOA ,286180.00,7.65E+04,133168.00,439192.00,,,,,,
2013, Central GOA ,264020.00,4.70E+04,169934.00,358106.00,,,,,,
2014, Central GOA ,182980.00,4.69E+04,89200.00,276760.00,,,,,,
2015, Central GOA ,126820.00,1.32E+04,100484.00,153156.00,,,,,,
2016, Central GOA ,88688.00,2.27E+04,43352.00,134024.00,,,,,,
2017, Central GOA ,62021.00,1.08E+04,40385.00,83657.00,,,,,,
2018, Central GOA ,81961.00,2.25E+04,36927.00,126995.00,,,,,,
2019, Central GOA ,108310.00,2.43E+04,59708.00,156912.00,,,,,,
2020, Central GOA ,103520.00,2.77E+04,48050.00,158990.00,,,,,,
2021, Central GOA ,98939.00,1.15E+04,75891.00,121987.00,,,,,,
