"YEAR","REGULATORY_AREA_NAME","SPECIES_CODE","AREA_BIOMASS","BIOMASS_VAR","AREA_POP","POP_VAR"
1984,"CENTRAL GOA",21720,340336,2862758988.308629665644015734284451222094,209626360,1079747244485624.885680900220330916137111
1984,"EASTERN GOA",21720,36792,191268074.254685085385227378828658766307,12580686,14908317407651.12892315471202527038456249
1984,"WESTERN GOA",21720,173842.7,3407686616.015981563528170985342866489065,98317486,1404912235306271.086287329771352947004129
1987,"CENTRAL GOA",21720,289789.7,2446590757.642524967661840959642975454853,188685738,2047375261214107.914906943513264024479119
1987,"EASTERN GOA",21720,32885.9,140375261.70136756207050877669965208346,14412058,25687273097232.97751328014267020963861018
1987,"WESTERN GOA",21720,72311.8,47297042.23625123340037524035040628590964,43922243,19044039069215.46050184429792697668426713
1990,"CENTRAL GOA",21720,263600.8,3665006733.534848874894987150296403072404,149086443,1883725506005316.436716962302364585102483
1990,"EASTERN GOA",21720,25724.8,13268577.07116303105790294318240234174821,12555400,4670578245534.78322542070676613556172357
1990,"WESTERN GOA",21720,127462.7,380121761.866853077063334354448121549548,50489825,52683680898565.2581151664525309329929562
1993,"CENTRAL GOA",21720,269257.5,5254428136.642293919849620619014031423001,140434540,1820291606734535.677672653489073467623703
1993,"EASTERN GOA",21720,20468.1,17513205.69792700883245466593846989230733,7965140,2273518225315.95224030199511950597449414
1993,"WESTERN GOA",21720,116056.4,106347268.234283868708346137479436549129,77080092,73702680872792.00866106860399577189786438
1996,"CENTRAL GOA",21720,337387.7,8300177276.12881001869903330777356392125,214932787,3812310800936980.487748375610821750827336
1996,"EASTERN GOA",21720,12638.2,7776103.75474396776164260204538186809287,7286820,7378787852992.99179018918444365171657224
1996,"WESTERN GOA",21720,188127.6,3299089953.892931468181784792745276788283,96848404,887772464229203.839542667232985527262146
1999,"CENTRAL GOA",21720,172619.6,1096109900.142703191412346877057435913828,85653366,155347212227407.37636525999754952528598
1999,"EASTERN GOA",21720,21717.8,25319405.29497730689620475721111986971202,9999577,4318651012705.4388780731254855515340247
1999,"WESTERN GOA",21720,112075.5,376171703.487430474637192331945843751776,70930949,188671869945097.219660961280687247816933
2001,"CENTRAL GOA",21720,124399.6,754585121.155511182023735248255381657213,87399685,407083518619922.930350188604456444820887
2001,"WESTERN GOA",21720,133214.4,1997122563.119592377133497528138791508461,71024779,404174515901136.398170274293163987567731
2003,"CENTRAL GOA",21720,207080.3,1633726162.837661160354458636384723319567,108890441,357055768415186.634904885311383558443858
2003,"EASTERN GOA",21720,14689.2,6803100.22495774320050885214575894152766,9392571,1919106843891.03845272461764037074422393
2003,"WESTERN GOA",21720,75632,344064063.595824216754752404469675291626,41466368,66735877165055.45718255530289594522919681
2005,"CENTRAL GOA",21720,160112.6,2393754503.936044558157930470529148486891,84201632,683745766588875.513828030376842939481514
2005,"EASTERN GOA",21720,14044.4,7442155.41155479537152800873394944945921,8277668,3366606825204.02319080618962366645976268
2005,"WESTERN GOA",21720,134017.9,4137539005.468543489244103214453658999521,47415698,157734764196569.163518483502748140924217
2007,"CENTRAL GOA",21720,109131.8,261437059.085961553455893940156572044583,103851125,661285910745638.848376633147286141598149
2007,"EASTERN GOA",21720,8696.7,2727418.82144125478508627428325697147083,7638331,5076072368315.62370308583861628674746437
2007,"WESTERN GOA",21720,114206.6,782494411.801233424949590343805040303369,80816391,465361809393171.377165555801457341236881
2009,"CENTRAL GOA",21720,539476.6,50383643657.9629680078990827725278845092,413303255,25621062929971499.7953890939906943012321
2009,"EASTERN GOA",21720,14182.7,8657235.81578466312264563655478832907607,6285727,1294902111232.18651140439181768807418147
2009,"WESTERN GOA",21720,198991.6,1613664879.794740306150282201028254525984,153879994,1328209497544940.974067240639252408405377
2011,"CENTRAL GOA",21720,320201.6,3356233101.87495285069511882226684718786,211315647,2801043939784956.837081383063481763979248
2011,"EASTERN GOA",21720,17203,6953832.23668098332989407380220091178501,9473506,1732291180552.88370673594317726623640385
2011,"WESTERN GOA",21720,163570.8,1279805346.104828655149413897008493363561,127245657,1002447291642233.807875355850539104855576
2013,"CENTRAL GOA",21720,293394.1,3521298827.377363079065437946801963953509,213885571,1939996943997023.275556523589464930666806
2013,"EASTERN GOA",21720,12433.4,5177637.65665400227673171471627916701737,8236619,2141316516488.96416949694801047637562087
2013,"WESTERN GOA",21720,200534.6,2113885189.385121777655327043058617668223,115869640,688406124200410.842870132670110199110483
2015,"CENTRAL GOA",21720,126698,190530285.847798887191681760862395379711,99817117,129219045919317.597988583447622137745076
2015,"EASTERN GOA",21720,24046.1,62840043.21678194969041633062694729228489,13181405,10705749072564.32436036251009111265800598
2015,"WESTERN GOA",21720,103188.1,461437598.053109921074970849158207225508,83556890,415478676758949.106194984451719359201105
2017,"CENTRAL GOA",21720,51216.5,87173092.70335713003306788279889788115783,29923222,27873210721923.2490348924896479235827857
2017,"EASTERN GOA",21720,7775.8,8097568.17200829559201695355662590147446,3867107,1973225068583.38159593801123849426974882
2017,"WESTERN GOA",21720,48332.1,92880035.64928584708291415001406514783881,22408802,13093500206377.95952033411370265783590296
2019,"CENTRAL GOA",21720,136995.9,1539102838.602585745531190192884969802176,104146558,980298076322603.407528069674581335157667
2019,"EASTERN GOA",21720,9803.2,3712928.72117701090794354374294526972255,8303733,2367977203626.37927841805072898386884306
2019,"WESTERN GOA",21720,34781.9,19420691.02127851012738491055678300160306,14667328,4153530080391.86621581208845424218750385
2021,"CENTRAL GOA",21720,98353.3,138987322.867871389861664286105038742894,48525762,29789646458974.30761624541934291207285766
2021,"EASTERN GOA",21720,24208.7,46840573.23896203240881881680781635264277,12886824,11063246418208.78831229637315564743568062
2021,"WESTERN GOA",21720,51852.1,51942050.06748960145603243767197116262306,29501091,21485496955235.07012920313822472864945377
